Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,RxDtcsCode,CrossMode,Mode,TStep,Skip,Power,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
83,PMR6-03,446.06875,,0,TSQL,74.4,74.4,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
84,PMR6-04,446.06875,,0,TSQL,77,77,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
85,PMR6-05,446.06875,,0,TSQL,79.7,79.7,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
86,PMR6-06,446.06875,,0,TSQL,82.5,82.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
87,PMR6-07,446.06875,,0,TSQL,85.4,85.4,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
88,PMR6-08,446.06875,,0,TSQL,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
89,PMR6-09,446.06875,,0,TSQL,91.5,91.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
90,PMR6-10,446.06875,,0,TSQL,94.8,94.8,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
91,PMR6-11,446.06875,,0,TSQL,97.4,97.4,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
92,PMR6-12,446.06875,,0,TSQL,100,100,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
93,PMR6-13,446.06875,,0,TSQL,103.5,103.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
94,PMR6-14,446.06875,,0,TSQL,107.2,107.2,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
95,PMR6-15,446.06875,,0,TSQL,110.9,110.9,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
96,PMR7,446.08125,,0,,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
97,PMR7-01,446.08125,,0,TSQL,67,67,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
98,PMR7-02,446.08125,,0,TSQL,71.9,71.9,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
99,PMR7-03,446.08125,,0,TSQL,74.4,74.4,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
100,PMR7-04,446.08125,,0,TSQL,77,77,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
101,PMR7-05,446.08125,,0,TSQL,79.7,79.7,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
102,PMR7-06,446.08125,,0,TSQL,82.5,82.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
103,PMR7-07,446.08125,,0,TSQL,85.4,85.4,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
104,PMR7-08,446.08125,,0,TSQL,88.5,88.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
105,PMR7-09,446.08125,,0,TSQL,91.5,91.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
106,PMR7-10,446.08125,,0,TSQL,94.8,94.8,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
107,PMR7-11,446.08125,,0,TSQL,97.4,97.4,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
108,PMR7-12,446.08125,,0,TSQL,100,100,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
109,PMR7-13,446.08125,,0,TSQL,103.5,103.5,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
110,PMR7-14,446.08125,,0,TSQL,107.2,107.2,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
111,PMR7-15,446.08125,,0,TSQL,110.9,110.9,23,NN,23,Tone->Tone,NFM,5,,4.0W,,,,,
